агитировать	сагитировать
сочувствовать	посочувствовать
сощипывать	сощипать
сощипывать*	сощипнуть
сощуривать	сощурить
сощуриваться	сощуриться
спадать	спасть
спадаться	спасться
спаивать	споить
спаивать*	спаять
спаиваться	спаяться
спалывать	сполоть
спаривать	спарить
спариваться	спариться
спархивать	спорхнуть
спарывать	спороть
спарываться	спороться
спасать	спасти
спасаться	спастись
спахивать	спахать
спеваться	спеться
спекаться	спечься
спечатывать	спечатать
спешивать	спешить
спешиваться	спешиться
спешить	поспешить
спивать	спить
спиваться	спиться
спиливать	спилить
спирать	спереть
спираться	спереться
спиртовать	заспиртовать*
списывать	списать
списываться	списаться
спихивать	спихнуть
сплавлять	сплавить
сплавляться	сплавиться
сплачивать	сплотить
сплачиваться	сплотиться
сплевывать	сплюнуть
сплескивать	сплеснуть
сплетать	сплести*
сплетаться	сплестись
сплывать	сплыть
сплываться	сплыться
сплющивать	сплющить
сплющивать*	сплюснуть
сплющиваться	сплющиться
сплющиваться*	сплюснуться
сподоблять	сподобить
сподобляться	сподобиться
спознаваться	спознаться
споласкивать	сполоснуть
сползать	сползти
сползаться	сползтись
спорить	поспорить
способствовать	поспособствовать
спотыкаться	споткнуться
спотыкаться*	спотыкнуться
спохватываться	спохватиться
справлять	справить
справляться	справиться
спрашивать	спросить
спрашиваться	спроситься
спрессовывать	спрессовать
спрессовываться	спрессоваться
спроваживать	спровадить
спрыгивать	спрыгнуть
спрыскивать	спрыснуть
спрягать	проспрягать
спрягать*	спрячь
спрягаться	спрячься
спрямлять	спрямить
спугивать	спугнуть
спускать	спустить
спускаться	спуститься
спутывать	спутать
спутываться	спутаться
спяливать	спялить
срабатывать	сработать
срабатываться	сработаться
сравнивать	сравнить
сравнивать*	сравнять*
сравнивать*	сровнять
сравниваться	сравняться
сравниваться*	сровняться
сражать	сразить
сражаться	сразиться
срамить	осрамить
срамиться	осрамиться
срастаться	срастись
сращиваться	срастить*
срезать	срезать
срезаться	срезаться
срезывать	срезать*
срезываться	срезаться*
срисовывать	срисовать
срубать	срубить
срывать	сорвать
срывать*	срыть
срываться	сорваться
срыгивать	срыгнуть
сряжать	срядить
сряжаться	срядиться
ссаживать	ссадить
ссасывать	ссосать
сседаться	ссесться
ссекать	ссечь
сселять	сселить
сселяться	сселиться
ссовывать	ссунуть
ссорить	поссорить
ссориться	поссориться
ссужать	ссудить
ссучивать	ссучить
ссучиваться	ссучиться
ссылать	сослать
ссылаться	сослаться
ссыпать	ссыпать
ссыпаться	ссыпаться
ссыхаться	ссохнуться
ставить	поставить
стаивать	стаять
сталкивать	столкнуть
сталкиваться	столкнуться
становиться	стать*
стапливать	стопить
стапливаться	стопиться
стаптывать	стоптать
стаптываться	стоптаться
стараться	постараться
стареть	постареть
старить	состарить
стариться	состариться
стаскивать	стащить
стаскивать*	стаскать
стаскиваться	стащиться
стасовываться	стасоваться
стачивать	сточить
стачивать*	стачать*
стачиваться	сточиться
створаживать	створожить
створаживаться	створожиться
створять	створить
створяться	створиться
стебать	застебать
стегать	выстегать
стегаться	выстегаться
стекать	стечь
стекаться	стечься
стекленеть	остекленеть
стеклить	застеклить
стелить	постелить
стервенеть	остервенеть
стеснять	стеснить
стесняться	стесниться
стесывать	стесать*
стирать	стереть
стираться	стереться
стираться*	выстираться
стискивать	стиснуть
стискиваться	стиснуться
стихать	стихнуть
стлать	выстлать
столбенеть	остолбенеть
столбить	застолбить
столковываться	столковаться
стонать	застонать
стопорить	застопорить*
стопориться	застопориться*
сторговывать	сторговать
сторговываться	сторговаться*
стоять	постоять
стравливать	стравить*
стравлять	стравить
страгивать	стронуть
страгиваться	стронуться
страдать	пострадать
страивать	строить
страховать	застраховать
страховаться	застраховаться
стращать	застращать
стрекотать	застрекотать
стрелять	выстрелить
стремиться	устремиться
стреноживать	стреножить
стричь	постричь
стричься	постричься
строить	построить
строиться	построиться
струшивать	струсить*
струшиваться	струситься
стряпать	состряпать
стряпаться	состряпаться
стрясать	стрясти
стрясаться	стрястись
стряхивать	стряхнуть
стряхиваться	стряхнуться
студить	выстудить
студиться	выстудиться
стукать	стукнуть
стукаться	стукнуться
ступать	ступить
стучать	постучать
стучаться	постучаться
стушевывать	стушевать
стушевываться	стушеваться*
стыдить	пристыдить
стыкать	соткнуть
стынуть	застынуть
стягивать	стянуть
стягиваться	стянуться
суетиться	засуетиться
сужать	сузить
сужаться	сузиться
суживать	сузить*
суживаться	сузиться*
сулить	посулить
супить	насупить
супиться	насупиться
сутулить	ссутулить
сутулиться	ссутулиться
суфлировать	просуфлировать
сушить	высушить
сушиться	высушиться
сформировывать	сформировать*
сформировываться	сформироваться*
сформовывать	сформовать*
сфуговывать	сфуговать
схватывать	схватывить
схватываться	схватиться
схлебывать	схлебать
схлебывать*	схлебнуть
схлестывать	схлестнуть
схлестывать*	схлестать
схлестываться	схлестнуться
сходить	сойти
сходиться	сойтись
сцапывать	сцапать
сцапывать*	сцапнуть
сцарапывать	сцарапать
сцарапывать*	сцарапнуть
сцеживать	сцедить
сцеплять	сцепить
сцепляться	сцепиться
счаливать	счалить
счаливаться	счалиться
счеканивать	счеканить
счерпывать	счерпать
счерпывать*	счерпнуть
счерчивать	счертить
счесывать	счесать
счесываться	счесаться
счислять	счислить
считать	посчитать
считать*	счесть
считаться	посчитаться
считывать	считать
счищать	счистить
счищаться	счиститься
сшабривать	сшабрить
сшибать	сшибить
сшибаться	сшибиться
сшивать	сшить*
съедать	съесть*
съеживать	съежить*
съеживаться	съежиться
съезжать	съехать
съезжаться	съехаться
сыгрываться	сыграться
сыпать	насыпать*
сыскивать	сыскать
сыскиваться	сыскаться
таить	утаить
таиться	притаиться
танцевать*	станцевать
тарарахать	тарарахнуть
тарарахаться	тарарахнуться
тараторить	затараторить
тарахтеть	затарахтеть
таращить	вытаращить
таращиться	вытаращиться
тасовать	перетасовать*
тачать	стачать
тащить	потащить
таять	растаять
твердеть	затвердеть
творить	натворить
творить*	сотворить
творожить	створожить*
творожиться	створожиться*
телиться	отелиться
темнеть	потемнеть
темнеть*	стемнеть
температурить	затемпературить
теплиться	затеплиться
тереться	потереться
терзать	растерзать
терпеть	вытерпеть
терпеть*	стерпеть
терять	потерять
теряться	потеряться
тесать	стесать
теснить	потеснить
тесниться	потесниться
течь	потечь
тешить	потешить
тешиться	потешиться
тибрить	стибрить
ткать	соткать
толкать	толкнуть
толковать	потолковать
толпиться	столпиться
толстеть	растолстеть
тонуть	утонуть
топать	топнуть
топить	утопить
топиться	утопиться
торговаться	сторговаться
торжествовать	восторжествовать
торкать	торкнуть
торкаться	торкнуться
тормозить	затормозить
тормошить	растормошить
торопить	поторопить
торопиться	поторопиться
тосковать	затосковать
точить	наточить
точиться	наточиться
тошнить	стошнить
тощать	отощать
трамбовать	утрамбовать
транжирить	растранжирить
транжириться	растанжириться
тратить	потратить
тратиться	потратиться
трафить	потрафить*
трахать	трахнуть
трахаться	трахнуться
требовать	потребовать
требоваться	потребоваться
тревожить	потревожить
тревожиться	встревожиться
трезветь	протрезветь
трезвить	отрезвить*
трезвонить	затрезвонить
треножить	стреножить*
трепать	истрепать
трепаться	истрепаться
трепетать	затрепетать
трепыхаться	трепыхнуться
трескать	треснуть
трескаться	потрескаться
трещать	затрещать
трогать	потрогать
трогаться	тронуться
троиться	растроиться
трубить	протрубить
трудить	натрудить*
трудоустраивать	трудоустроить
трусить	струсить
трухляветь	отрухляветь
трясти	потрясти*
тужиться	натужиться
тукать	тукнуть
тукаться	тукнуться
туманить	затуманить*
туманиться	затуманиться*
тупеть	отупеть*
тупить	затупить
тупиться	затупиться
турить	турнуть
турлыкать	турлыкнуть
тускнеть	потускнеть
тускнуть	потускнуть
тухнуть	протухнуть*
тучнеть	потучнеть
тушеваться	стушеваться
тушить	потушить
тыкать	ткнуть
тыкать*	тыкнуть
тыкаться	тыкнуться
тырить	стырить
тыркать	тыркнуть
тыркаться	тыркнуться
тюкать	тюкнуть
тявкать	тявкнуть
тягаться	потягаться
тяжелеть	потяжелеть
тяжелить	отяжелить*
тянуть	потянуть
тянуться	потянуться
тяпать	тяпнуть
убавлять	убавить
убавляться	убавиться
убаюкивать	убаюкать
убегать	убежать
убеждать	убедить
убеждаться	убедиться
убелять	убелить
уберегать	уберечь
уберегаться	уберечься
убивать	убить
убиваться	убиться
убирать	убрать
убираться	убраться
ублаготворять	ублаготворить
ублаготворяться	ублаготвориться
ублажать	ублажить
убывать	убыть
убыстрять	убыстрить
убыстряться	убыстриться
уваливать	увалить
уваливать*	увалять
уваливаться	уваляться
уваривать	уварить
увариваться	увариться
уведомлять	уведомить
увековечивать	увековечить
увековечиваться	увековечиться
увеличивать	увеличить
увеличиваться	увеличиться
увенчивать	увенчать
увенчиваться	увенчаться
уверстывать	уверстать
уверстываться	уверстаться
увертывать	увернуть
увертываться	увернуться
уверять	уверить
уверяться	увериться
увеселять	увеселить
увешивать	увешать
увешивать*	увесить
увешиваться	увешаться
увивать	увить
увиваться	увиться
увиливать	увильнуть
увинчивать	увинтить
увлажать	увлажить
увлажаться	увлажиться
увлажнять	увлажнить
увлажняться	увлажниться
увлекать	увлечь
увлекаться	увлечься
уводить	увести
увозить	увезти
уволакивать	уволочь
уволакивать*	уволочить
уволакиваться	уволочься
уволакиваться*	уволочиться
увольнять	уволить
увольняться	уволиться
уворовывать	уворовать
увядать	увянуть
увязать	увязнуть*
увязывать	увязать
увязываться	увязаться
угадывать	угадать
угаживать	угадить
угасать	угаснуть
угашать	угасить
углублять	углубить
углубляться	углубиться
угнетать	угнести
уговаривать	уговорить
уговариваться	уговориться
угождать	угодить
угомонять	угомонить
угомоняться	угомониться
угонять	угнать
угорать	угореть
уготавливать	уготовить*
уготавливать*	уготовать
уготовлять	уготовить
уготовлять*	уготовать*
угощать	угостить
угощаться	угоститься
угребать	угрести
угревать	угреть
угреваться	угреться
угрызать	угрызть
угрюметь	поугрюметь
удаваться	удаться
удавливать	удавить
удалять	удалить
удаляться	удалиться
ударять	ударить
ударяться	удариться
удваивать	удвоить
удваиваться	удвоиться
удевятерять	удевятерить
удевятеряться	удевятериться
уделывать	уделать
уделять	уделить
удерживать	удержать
удерживаться	удержаться
удесятерять	удесятерить
удесятеряться	удесятериться
удешевлять	удешевить
удешевляться	удешевиться
удивлять	удивить
удивляться	удивиться
удирать	удрать
удлинять	удлинить
удлиняться	удлиниться
удобрять	удобрить
удовлетворять	удовлетворить
удовлетворяться	удовлетвориться
удорожать	удорожить
удостаивать	удостоить
удостаиваться	удостоиться
удостоверять	удостоверить
удостоверяться	удостовериться
удосуживаться	удосужиться
удочерять	удочерить
удружать	удружить
удручать	удручить
удручаться	удручиться
удумывать	удумать
удушать	удушить
уедать	уесть
уединять	уединить
уединяться	уединиться
уезжать	уехать
уезживать	уездить
уезживаться	уездиться
ужаривать	ужарить
ужариваться	ужариться
ужасать	ужаснуть
ужасаться	ужаснуться
уживаться	ужиться
ужиливать	ужилить
ужимать	ужать
ужиматься	ужаться
ужинать	поужинать
узаконивать	узаконить
узнавать	узнать
узнаваться	узнаться
указывать	указать
укалывать	уколоть
укалываться	уколоться
укапывать	укапать
укапываться	укапаться
укарауливать	укараулить
укатывать	укатить
укатывать*	укатать
укатываться	укататься
укать	укнуть
укачивать	укачать
укачиваться	укачаться
укипать	укипеть
укисать	укиснуть
укладывать	уложить
укладываться	улечься
укладываться*	уложиться
уклеивать	уклеить
уклеиваться	уклеиться
уклонять	уклонить
уклоняться	уклониться
уколачивать	уколотить
уколупывать	уколупнуть
укомплектовывать	укомплектовать*
укомплектовываться	укомплектоваться*
укорачивать	укоротить
укорачиваться	укоротиться
укоренять	укоренить
укореняться	укорениться
укорять	укорить
укочевывать	укочевать
украшать	украсить
украшаться	украситься
укреплять	укрепить
укрепляться	укрепиться
укрощать	укротить
укрощаться	укротиться
укрупнять	укрупнить
укрупняться	укрупниться
укручивать	укрутить
укручиваться	укрутиться
укрывать	укрыть
укрываться	укрыться
укупоривать	укупорить
укутывать	укутать
укутываться	укутаться
улавливать	уловить
улаживать	уладить
улаживаться	уладиться
уламывать	уломать
улащивать	уластить
улезать	улезть
улепетывать	улепетнуть
улеплять	улепить
улепляться	улепиться
улетать	улететь
улетучивать	улетучить
улетучиваться	улетучиться
улещать	улестить
улещивать	улестить*
уливаться	улиться
уличать	уличить
улучать	улучить
улучшать	улучшить
улучшаться	улучшиться
улыбаться	улыбнуться
умазывать	умазать
умазываться	умазаться
умаивать	умаять
умаиваться	умаяться
умалчивать	умолчать
умалять	умалить
умаляться	умалиться
уманивать	уманить
умасливать	умаслить
умасливаться	умаслиться
уматывать	умотать
уматываться	умотаться
умащать	умастить
умащаться	умаститься
умащивать	умостить
умащиваться	умоститься
умедлять	умедлить
умедляться	умедлиться
умельчать	умельчить
умельчаться	умельчиться
уменьшать	уменьшить
уменьшаться	уменьшиться
умерщвлять	умертвить
умерять	умерить
умеряться	умериться
уметать	умести
уметывать	уметать
уметь	суметь
умешивать	умешать
умешивать*	умесить
умещать	уместить
умещаться	уместиться
умилостивлять	умилостивить
умилостивляться	умилостивиться
умилять	умилить
умиляться	умилиться
уминать	умять
уминаться	умяться
умирать	умереть
умиротворять	умиротворить
умиротворяться	умиротвориться
умирять	умирить
умиряться	умириться
умнеть	поумнеть
умножать	умножить
умножаться	умножиться
умозаключать	умозаключить
умокать	умокнуть
умолачивать	умолотить
умолкать	умолкнуть
умолять	умолить
умудрять	умудрить
умудряться	умудриться
умучивать	умучить
умучиваться	умучиться
умывать	умыть
умываться	умыться
умыкать	умыкнуть
умышлять	умыслить
умягчать	умягчить
умягчаться	умягчиться
умякать	умякнуть
унаваживать	унавозить*
унавоживать	унавозить
унижать	унизить
унижаться	унизиться
унизывать	унизать
унимать	унять
униматься	уняться
уничижать	уничижить
уничижаться	уничижиться
уничтожать	уничтожить
уничтожаться	уничтожиться
уносить	унести
уноситься	унестись
уныривать	унырнуть
упаивать	упоить
упаивать*	упаять
упаковывать	упаковать*
упаковываться	упаковаться
упаривать	упарить
упариваться	упариться
упархивать	упорхнуть
упекать	упечь
упекаться	упечься
упеленывать	упеленать
упестрять	упестрить
упечатывать	упечатать
упечатываться	упечататься
упиваться	упиться
упирать	упереть
упираться	упереться
уписывать	уписать
уписываться	уписаться
упитывать	упитать
упихивать	упихать
упихивать*	упихнуть
упластывать	упластать
уплачивать	уплатить
уплетать	уплести
уплотнять	уплотнить
уплотняться	уплотниться
уплывать	уплыть
уподоблять	уподобить
уподобляться	уподобиться
упокоевать	упокоить
упокоеваться	упокоиться
уползать	уползти
уполномочивать	уполномочить
упоминать	упомянуть
упорядочивать	упорядочить
упорядочиваться	упорядочиться
употреблять	употребить
употребляться	употребиться
управляться	управиться
упражняться	поупражняться
упразднять	упразднить
упраздняться	упраздниться
упрашивать	упросить
упревать	упреть
упреждать	упредить
упрекать	упрекнуть
упрочивать	упрочить
упрочиваться	упрочиться
упрочнять	упрочнить
упрощать	упростить
упрощаться	упроститься
упрыгивать	упрыгать
упрыгивать*	упрыгнуть
упрягать	упрячь
упрямиться	заупрямиться
упрятывать	упрятать
упрятываться	упрятаться
упускать	упустить
упутывать	упутать
упятерять	упятерить
упятеряться	упятериться
уравнивать	уравнять
уравнивать*	уровнять
уравниваться	уравняться
уравниваться*	уровняться
уравновешивать	уравновесить
уравновешиваться	уравновеситься
уразумевать	уразуметь
урезать	урезать
урезонивать	урезонить
урезывать	урезать*
уродовать	изуродовать
урождать	уродить
урождаться	уродиться
урчать	заурчать
урывать	урвать
урываться	урваться
уряжать	урядить
уряжаться	урядиться
усаживать	усадить
усаживать*	усажать
усаживаться	усесться
усаливать	усолить
усаливать*	усалить
усаливаться	усолиться
усаливаться*	усалиться
усахаривать	усахарить
усваивать	усвоить
усевать	усеять*
усеваться	усеяться*
усеивать	усеять
усеиваться	усеяться
усекать	усечь
усемерять	усемерить
усемеряться	усемериться
усиживать	усидеть
усиливать	усилить
усиливаться	усилиться
ускакивать	ускакать
ускользать	ускользнуть
ускорять	ускорить
ускоряться	ускориться
уславливаться	условиться
услаждать	усладить
услаждаться	усладиться
услащать	усластить
услащаться	усластиться
услеживать	уследить
условливаться	условиться*
усложнять	усложнить
усложняться	усложниться
услуживать	услужить
усматривать	усмотреть
усмехаться	усмехнуться
усмирять	усмирить
усмиряться	усмириться
уснащать	уснастить
усовещивать	усовестить
усовещиваться	усовеститься
успевать	успеть
успокаивать	успокоить
успокаиваться	успокоиться
усреднять	усреднить
уставать	устать
уставлять	уставить
уставляться	уставиться
устаивать	устоять
устаиваться	устояться
устанавливать	установить
устанавливаться	установиться
устаревать	устареть
устерегать	устеречь
устилать	устлать
устилать*	устелить
устилаться	устлаться
устилаться*	устелиться
устрагивать	устрогать
устраивать	устроить
устраиваться	устроиться
устранять	устранить
устраняться	устраниться
устрашать	устрашить
устрашаться	устрашиться
устремлять	устремить
устремляться	устремиться*
устругивать	устругать
уступать	уступить
устыжать	устыдить
устыжаться	устыдиться
усугублять	усугубить
усугубляться	усугубиться
усушать	усушить
усушаться	усушиться
усчитывать	усчитать
усылать	услать
усыновлять	усыновить
усыпать	усыпать
усыпаться	усыпаться
усыплять	усыпить
усыхать	усохнуть
утаивать	утаить*
утапливать	утопить*
утапливаться	утопиться*
утаптывать	утоптать
утаптываться	утоптаться
утаскивать	утащить
утаскиваться	утащиться
утачивать	уточить
утачивать*	утачать
утачиваться	уточиться
утачиваться*	утачаться
утверждать	утвердить
утверждаться	утвердиться
утекать	утечь
утемнять	утемнить
утемняться	утемниться
утеплять	утеплить
утепляться	утеплиться
утериваться	утеряться
утеснять	утеснить
утесняться	утесниться
утесывать	утесать
утешать	утешить
утешаться	утешиться
утирать	утереть
утираться	утереться
утискивать	утискать
утискиваться	утискаться
утихать	утихнуть
утихомиривать	утихомирить
утихомириваться	утихомириться
утишать	утишить
утишаться	утишиться
утолщать	утолстить
утолщаться	утолститься
утолять	утолить
утоляться	утолиться
утомлять	утомить
утомляться	утомиться
утончать	утончить
утончаться	утончиться
утонять	утонить
утоняться	утониться
утопать	утонуть*
утопывать	утопать
уторапливать	уторопить
уточнять	уточнить
уточняться	уточниться
утраивать	утроить
утраиваться	утроиться
утрамбовывать	утрамбовать*
утрамбовываться	утрамбоваться
утрачивать	утратить
утрачиваться	утратиться
утруднять	утруднить
утруждать	утрудить
утрясать	утрясти
утрясаться	утрястись
утучнять	утучнить
утучняться	утучниться
утушать	утушить
утыкать	уткнуть
утыкать*	утыкать
утыкаться	уткнуться
утыкивать	утыкать*
утягивать	утянуть
утяжелять	утяжелить
утяжеляться	утяжелиться
ухать	ухнуть
ухаться	ухнуться
ухватывать	ухватывить
ухватываться	ухватиться
ухитряться	ухитриться
ухичивать	ухитить
ухлебывать	ухлебнуть
ухлестывать	ухлестать
ухлестывать*	ухлестнуть
ухлестываться	ухлестаться
ухлопывать	ухлопать
ухмыляться	ухмыльнуться
уходить	уйти
ухоливать	ухолить
ухудшать	ухудшить
ухудшаться	ухудшиться
уцеживать	уцедить
уцеживаться	уцедиться
уценивать	уценить
уцеплять	уцепить
уцепляться	уцепиться
учащать	участить
учащаться	участиться
учерпывать	учерпнуть
учесывать	учесать
учесываться	учесаться
учетверять	учетверить
учетверяться	учетвериться
учинять	учинить
учиняться	учиниться
учитывать	учесть
учить	выучить
учиться	научиться
учреждать	учредить
учреждаться	учредиться
учуивать	учуять
ушвыривать	ушвырнуть
ушестерять	ушестерить
ушестеряться	ушестериться
ушибать	ушибить
ушибаться	ушибиться
ушивать	ушить
ушиваться	ушиться
уширять	уширить
уширяться	ушириться
уштопывать	уштопать
ущемлять	ущемить
ущемляться	ущемиться
ущерблять	ущербить
ущербляться	ущербиться
ущипывать	ущипнуть
ущупывать	ущупать
уязвлять	уязвить
уяснять	уяснить
уясняться	уясниться
фабриковать	сфабриковать
фабрить	нафабрить
фальшивить	сфальшивить
фартить	пофартить
фаршировать	нафаршировать
фасовать	расфасовать
фильтровать	отфильтровать
фокусировать	сфокусировать
фонтанировать	зафонтанировать
фордыбачиться	нафордыбачиться
формировать	сформировать
формироваться	сформироваться
формовать	сформовать
формоваться	сформоваться
формулировать	сформулировать
фотографировать	сфотографировать
фотографироваться	сфотографироваться
фрахтовать	зафрахтовать
фукать	фукнуть
фуфыриться	расфуфыриться
фыркать	фыркнуть
халтурить	схалтурить
хаметь	охаметь
хамить	нахамить
хандрить	захандрить
хапать	хапнуть
характеризоваться	охарактеризоваться
харкать	харкнуть
хаять	охаять
хвалить	похвалить
хвалиться	похвалиться
хвастать	похвастать
хвастаться	похвастаться
хватать	хватить
хвататься	хватиться
хворать	захворать
херить	похерить
хилеть	захилеть
хиреть	захиреть
хитрить	схитрить
хихикать	хихикнуть
хладеть	охладеть*
хлебать	хлебнуть
хлестать	хлестнуть
хлопать	хлопнуть
хлопаться	хлопнуться
хлопотать	похлопотать
хлюпать	хлюпнуть
хлюпаться	хлюпнуться
хмелеть	захмелеть
хмурить	нахмурить
хмуриться	нахмуриться
хмыкать	хмыкнуть
хныкать	захныкать
ходить	пойти*
холодать	похолодать
холодеть	похолодеть
холостить	выхолостить*
хомутать	захомутать
хоронить	похоронить
хорониться	схорониться
хорошеть	похорошеть
хотеть	захотеть
хотеться	захотеться
хохлить	нахохлить*
хохлиться	нахохлиться*
хохотать	захохотать
хохриться	нахохриться
храбреть	охрабреть
храбриться	расхрабриться
хранить	сохранить
храниться	сохраниться
храпеть	захрапеть
хрипеть	захрипеть
хрипнуть	охрипнуть
хромать	захромать
хрометь	охрометь
хрупать	хрупнуть
хрустеть	захрустеть
хрюкать	хрюкнуть
хряпать	хряпнуть
худеть	похудеть
хулиганить	схулиганить
цапать	цапнуть
цапаться	поцапаться
царапать	поцарапать
царапаться	поцарапаться
цедиться	нацедиться
целиться	прицелиться
целовать	поцеловать
целоваться	поцеловаться
цементировать	сцементировать
цепенеть	оцепенеть
цеплять	зацепить
цепляться	зацепиться
циклевать	отциклевать
цитировать	процитировать
цокать	цокнуть
цыкать	цыкнуть
чавкать	чавкнуть
чадить	начадить
частить	зачастить
чахнуть	зачахнуть
чекрыжить	расчекрыжить
червиветь	зачервиветь
черкать	черкнуть
чернеть	почернеть
черстветь	зачерстветь
чертить	начертить
чертыхаться	чертыхнуться
чесать	почесать
чесаться	почесаться
чивикать	чивикнуть
чикать	чикнуть
чиликать	чиликнуть
чинить	починить
чирикать	чирикнуть
чиркать	чиркнуть
чистить	вычистить
чиститься	почиститься
читать	прочитать
читаться	прочитаться
чихать	чихнуть
чихвостить	расчихвостить
членить	расчленить
члениться	расчлениться
чмокать	чмокнуть
чмокаться	чмокнуться
чокаться	чокнуться
чтить	почтить
чувствовать	почувствовать
чувствоваться	почувствоваться
чудачить	начудачить
чудить	начудить
чудиться	почудиться
чуметь	очуметь
чуять	почуять
чхать	начхать
шагать	зашагать
шалить	нашалить
шамкать	прошамкать
шарахать	шарахнуть
шарахаться	шарахнуться
шарить	пошарить
шаркать	шаркнуть
шваркать	шваркнуть
швырять	швырнуть
шевелить	пошевелить
шевелиться	пошевелиться
шелестеть	зашелестеть
шелудиветь	зашелудиветь
шельмовать	ошельмовать
шептать	прошептать
шествовать	прошествовать
шикать	шикнуть
шинковать	нашинковать
шить	сшить
шифровать	зашифровать
шкодить	нашкодить
школить	вышколить
шкурить	отшкурить
шлепать	нашлепать
шлепаться	шлепнуться
шлифовать	отшлифовать
шмыгать	шмыгнуть
шмякать	шмякнуть
шмякаться	шмякнуться
шнуровать	зашнуровать
шнуроваться	зашнуроваться
шоркать	шоркнуть
шпаклевать	зашпаклевать
шпиговать	нашпиговать
штамповать	проштамповать
штемпелевать	проштемпелевать
штопать	заштопать
штормить	заштормить
штрафовать	оштрафовать
штриховать	заштриховать
штудировать	проштудировать
штукатурить	оштукатурить
шуметь	зашуметь
шуршать	зашуршать
шутить	пошутить
щадить	пощадить
щебетать	защебетать
щекотать	пощекотать
щелкать	щелкнуть
щениться	ощениться
щербиться	выщербиться
щипать	щипнуть
щурить	прищурить
щуриться	прищуриться
экзаменовать	проэкзаменовать
экономить	сэкономить
экспериментировать	проэкспериментировать
электризовать	наэлектризовать
электризоваться	наэлектризоваться
юлить	заюлить
ябедничать	наябедичать
являть	явить
являться	явиться
ягниться	оягниться
язвить	съязвить
якать	якнуть
яриться	разъяриться*
взрывать	взорвать
вкидывать	вкидать
возбуждаться	возбудиться
вскатывать	вскатить
вспоминать	вспомянуть
вывеиваться	вывеяться
